A124 121.5534 24.8637 146.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
A125 121.6549 25.0677 18.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B003 121.1432 25.0456 56.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B004 121.2030 25.0601 36.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B006 121.1493 24.9095 165.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B011 121.2865 24.8841 120.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B012 121.2987 24.9361 140.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B013 121.2134 24.8640 234.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B014 121.3153 25.0448 104.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B016 120.9656 24.8145 22.0 1 1 CWB CSMT FBA 0.3115E-03 0.3115E-03 0.3115E-03 1 0.0 20171201 99999999               
B018 121.0608 24.8786 110.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B019 120.9874 24.9006 22.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B021 121.1740 24.7919 141.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B022 120.9899 24.7672 51.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B023 121.1399 24.7200 177.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
B026 121.0837 24.7736 100.0 1 1 CWB CSMT FBA 0.2450E-03 0.2450E-03 0.2450E-03 1 0.0 20171201 99999999               
